score_bin,n,lie_rate,score_mean,error_rate_calibrated
"(-0.001, 0.1]",0,,,
"(0.1, 0.2]",3,0.0,0.14275539484288954,0.0
"(0.2, 0.3]",15,0.4,0.2544538896589998,0.4
"(0.3, 0.4]",79,0.2911392405063291,0.3630449231802333,0.2911392405063291
"(0.4, 0.5]",270,0.4111111111111111,0.46114801830412977,0.4111111111111111
"(0.5, 0.6]",838,0.5704057279236276,0.534724195902152,0.43317422434367536
"(0.6, 0.7]",144,0.5902777777777778,0.6427876055654552,0.4097222222222222
"(0.7, 0.8]",77,0.6493506493506493,0.7408902815302557,0.35064935064935066
"(0.8, 0.9]",4,0.5,0.8220202897985776,0.5
"(0.9, 1.0]",0,,,
