fold,seed,auc_roc_prior_kl,balanced_accuracy_at_0p5_prior_kl,calibrated_balanced_accuracy_prior_kl,calibrated_f1_lie_prior_kl,calibrated_macro_f1_prior_kl,auc_roc_no_prior,balanced_accuracy_at_0p5_no_prior,calibrated_balanced_accuracy_no_prior,calibrated_f1_lie_no_prior,calibrated_macro_f1_no_prior,auc_roc_delta,balanced_accuracy_at_0p5_delta,calibrated_balanced_accuracy_delta,calibrated_f1_lie_delta,calibrated_macro_f1_delta
fold1,42,0.5761668866452974,0.5436414748281595,0.5483638732237439,0.5725490196078431,0.5482832434283758,0.6590445499580041,0.6235022883491318,0.6000188553111984,0.5592841163310962,0.5905825572058552,-0.08287766331270674,-0.0798608135209723,-0.05165498208745445,0.013264903276746898,-0.04229931377747942
fold1,123,0.6148374157938943,0.5634052692024203,0.551749258643446,0.4466501240694789,0.5259799292913766,0.5826119748367301,0.5134386945268175,0.5462040830319341,0.4790697674418605,0.5313564450592202,0.032225440957164175,0.04996657467560284,0.00554517561151191,-0.03241964337238157,-0.005376515767843593
fold1,2025,0.6841392550437957,0.6203140266374123,0.6217881691492826,0.5740318906605922,0.6102673630996722,0.6672380397332831,0.631875760640395,0.5933766434117829,0.5167464114832536,0.5747368421052632,0.016901215310512585,-0.01156173400298266,0.02841152573749972,0.057285479177338616,0.03553052099440901
fold2,42,0.7052660648635587,0.6605795950774117,0.6433022075702919,0.6532258064516129,0.6428522194651227,0.6583185183906658,0.6317638124169356,0.6319536738181127,0.6150537634408603,0.6281681642855603,0.0469475464728929,0.02881578266047613,0.011348533752179146,0.03817204301075261,0.014684055179562394
fold2,123,0.6193969311493519,0.5,0.5817008129519996,0.4950980392156863,0.5622972210466921,0.6369073303760981,0.5,0.6113450817267032,0.5484633569739953,0.5977067246977186,-0.017510399226746243,0.0,-0.029644268774703608,-0.053365317758308994,-0.035409503651026464
fold2,2025,0.6844158309888326,0.6118456254207156,0.6547284118956798,0.6394849785407726,0.6510677904752056,0.6387973143241797,0.509562110568376,0.5952327528177158,0.547945205479452,0.585759674983072,0.045618516664652886,0.10228351485233966,0.05949565907796395,0.09153977306132055,0.06530811549213356
fold3,42,0.6601248718665548,0.5992917715031219,0.581474233529028,0.6570397111913358,0.5745091604085021,0.7208647842698723,0.6625570776255708,0.647609728823036,0.7370184254606366,0.6313490918843968,-0.06073991240331755,-0.06326530612244896,-0.06613549529400797,-0.07997871426930081,-0.05683993147589472
fold3,123,0.6438542540303793,0.6156555772994129,0.5820240424937098,0.6898839137645107,0.5572496491899477,0.6248811853508526,0.5784269872332495,0.5684838318889199,0.38823529411764707,0.5172468987595038,0.01897306867952675,0.037228590066163414,0.013540210604789826,0.3016486196468637,0.04000275043044388
fold3,2025,0.5858540676544591,0.5,0.540844282918647,0.3785310734463277,0.49762790606114293,0.5889851831143416,0.5,0.5400149100736185,0.3556851311953353,0.48895367670877876,-0.0031311154598824276,0.0,0.0008293728450284865,0.0228459422509924,0.008674229352364171
